Received Total CAD 35764.58
Received Total EUR 1309.79 EUR = 1791.923699 in CAD(2013)
Received Total USD 4220.88 USD = 4343.28552 in CAD(2013)
Year End Balance Total CAD 9012.96
Year End Balance Total EUR 1016.57 EUR = 1390.769417 in CAD(2013)
Year End Balance Total USD 2940.88 USD = 3026.16552 in CAD(2013)
------------------------------------------------------------------------------------------
Date, Time, Time Zone, Type, Currency, Net
9/23/2013,22:33:07,GMT-04:00,Donation Received,CAD,44.16
9/23/2013,16:02:39,GMT-04:00,Donation Received,CAD,95.80
9/23/2013,12:42:56,GMT-04:00,Donation Received,CAD,143.85
9/22/2013,07:17:49,GMT-04:00,Recurring Payment Received,CAD,9.31
9/22/2013,07:15:35,GMT-04:00,Recurring Payment Received,CAD,9.31
9/20/2013,08:33:21,GMT-04:00,Recurring Payment Received,EUR,9.26
9/19/2013,10:04:24,GMT-04:00,Payment Received,EUR,9.26
9/19/2013,04:28:01,GMT-04:00,Donation Received,EUR,28.48
9/17/2013,16:59:16,GMT-04:00,Donation Received,EUR,18.87
9/16/2013,16:58:16,GMT-04:00,Donation Received,EUR,1.57
9/15/2013,05:08:08,GMT-04:00,Donation Received,CAD,48.25
9/15/2013,00:57:27,GMT-04:00,Recurring Payment Received,USD,9.41
9/14/2013,09:04:08,GMT-04:00,Payment Sent,AUD,-4150.00
9/14/2013,09:04:08,GMT-04:00,Currency Conversion,AUD,4150.00
9/14/2013,09:04:08,GMT-04:00,Currency Conversion,CAD,-4083.85
9/13/2013,23:53:13,GMT-04:00,Donation Received,USD,28.83
9/13/2013,19:12:09,GMT-04:00,Donation Received,USD,23.97
9/11/2013,07:50:15,GMT-04:00,Recurring Payment Received,USD,9.41
9/10/2013,10:34:27,GMT-04:00,Recurring Payment Received,EUR,9.26
9/7/2013,07:39:08,GMT-04:00,Recurring Payment Received,USD,9.31
9/7/2013,07:34:04,GMT-04:00,Recurring Payment Received,CAD,9.31
9/6/2013,07:31:46,GMT-04:00,Recurring Payment Received,USD,9.31
9/5/2013,21:45:39,GMT-04:00,Donation Received,USD,9.41
9/5/2013,03:32:22,GMT-04:00,Donation Received,CAD,47.75
8/30/2013,18:27:20,GMT-04:00,Donation Received,USD,4.50
8/29/2013,04:00:38,GMT-04:00,Donation Received,EUR,18.87
8/28/2013,08:44:39,GMT-04:00,Donation Received,USD,19.12
8/25/2013,02:46:00,GMT-04:00,Donation Received,EUR,18.87
8/24/2013,10:28:18,GMT-04:00,Donation Received,EUR,9.26
8/22/2013,18:19:33,GMT-04:00,Donation Received,USD,9.31
8/22/2013,14:27:32,GMT-04:00,Donation Received,USD,9.31
8/22/2013,14:05:03,GMT-04:00,Donation Received,CAD,19.12
8/22/2013,04:42:59,GMT-04:00,Recurring Payment Received,CAD,9.31
8/22/2013,04:41:47,GMT-04:00,Recurring Payment Received,CAD,9.31
8/17/2013,23:36:22,GMT-04:00,Donation Received,USD,9.31
8/16/2013,12:06:24,GMT-04:00,Donation Received,USD,96.80
8/15/2013,09:40:21,GMT-04:00,Donation Received,EUR,47.70
8/14/2013,21:11:06,GMT-04:00,Donation Received,USD,9.41
8/13/2013,22:42:52,GMT-04:00,Donation Received,USD,0.00
8/13/2013,09:40:00,GMT-04:00,Donation Received,USD,9.31
8/11/2013,16:41:30,GMT-04:00,Donation Received,EUR,9.26
8/11/2013,07:39:04,GMT-04:00,Recurring Payment Received,USD,9.41
8/10/2013,22:18:50,GMT-04:00,Donation Received,USD,0.00
8/9/2013,17:42:24,GMT-04:00,Donation Received,CAD,96.80
8/7/2013,18:46:30,GMT-04:00,Payment Sent,AUD,-4221.82
8/7/2013,18:46:30,GMT-04:00,Currency Conversion,AUD,4221.82
8/7/2013,18:46:30,GMT-04:00,Currency Conversion,CAD,-4069.90
8/7/2013,10:03:34,GMT-04:00,Donation Received,USD,23.97
8/7/2013,07:50:45,GMT-04:00,Recurring Payment Received,CAD,9.31
